time,control,MK801
9.3126,-47.59375,-43.6875
9.31265,-47.28125,-43.46875
9.312700000000001,-47.21875,-43.5
9.312750000000001,-47.46875,-43.5625
9.312800000000001,-47.75,-43.78125
9.312850000000001,-47.40625,-43.75
9.3129,-47.25,-43.78125
9.31295,-47.25,-43.5
9.313,-47.5625,-43.75
9.31305,-47.40625,-43.625
9.3131,-47.34375,-43.65625
9.31315,-47.125,-43.78125
9.3132,-47.71875,-43.6875
9.31325,-47.625,-43.6875
9.3133,-47.375,-43.6875
9.31335,-46.9375,-43.5625
9.3134,-47.28125,-43.78125
9.31345,-47.53125,-43.71875
9.313500000000001,-47.4375,-43.78125
9.313550000000001,-47.21875,-43.84375
9.313600000000001,-47.53125,-43.90625
9.31365,-47.625,-43.78125
9.3137,-47.25,-43.59375
9.31375,-47.0625,-43.65625
9.3138,-47.125,-43.78125
9.31385,-47.40625,-43.90625
9.3139,-47.625,-43.78125
9.31395,-47.3125,-43.53125
9.314,-47.28125,-43.6875
9.31405,-47.375,-43.75
9.3141,-47.46875,-43.71875
9.31415,-47.25,-43.46875
9.3142,-46.9375,-43.5625
9.314250000000001,-47.375,-43.65625
9.314300000000001,-47.65625,-43.625
9.314350000000001,-47.40625,-43.40625
9.314400000000001,-47.15625,-43.46875
9.31445,-47.28125,-43.21875
9.3145,-47.46875,-43.59375
9.31455,-47.15625,-43.6875
9.3146,-46.9375,-43.25
9.31465,-47.125,-43.40625
9.3147,-47.4375,-43.375
9.31475,-47.53125,-43.65625
9.3148,-47.03125,-43.53125
9.31485,-46.90625,-43.34375
9.3149,-47.34375,-43.25
9.31495,-47.3125,-43.375
9.315000000000001,-46.9375,-43.34375
9.315050000000001,-46.8125,-43.375
9.315100000000001,-47.40625,-43.40625
9.315150000000001,-47.65625,-43.21875
9.3152,-47.15625,-43.4375
